Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2020,7,24,00:00,UTC,7,1003.4,91,0,-1,11.7,10.2,49886,181,5.3,3.7
2020,7,24,00:10,UTC,7,1003.3,89,0,-1,11.8,10.1,49175,180,5.3,3.4
2020,7,24,00:20,UTC,8,1003.3,90,0,-1,11.8,10.2,46724,179,5.3,3.1
2020,7,24,00:30,UTC,8,1003.2,89,0,-1,11.9,10.2,50000,187,4.6,3.1
2020,7,24,00:40,UTC,8,1003.1,90,0,-1,11.8,10.3,42527,193,4.5,3.3
2020,7,24,00:50,UTC,7,1003,90,0,-1,11.8,10.2,49505,202,4.5,3.3
2020,7,24,01:00,UTC,7,1003,91,0,-1,11.8,10.3,46461,205,5.1,3.2
2020,7,24,01:10,UTC,7,1003,90,0,-1,11.7,10.2,45839,205,4.5,3.1
2020,7,24,01:20,UTC,7,1002.9,91,0,-1,11.7,10.2,46829,205,4.9,3.1
2020,7,24,01:30,UTC,7,1002.9,89,0,-1,11.6,10,45557,198,4.9,3.2
2020,7,24,01:40,UTC,8,1002.8,89,0,-1,11.7,10,50000,199,5.8,4
2020,7,24,01:50,UTC,7,1002.8,86,0,-1,11.7,9.5,50000,196,4.8,3.3
2020,7,24,02:00,UTC,6,1002.7,85,0,-1,11.9,9.4,50000,202,6.8,4.1
2020,7,24,02:10,UTC,7,1002.8,83,0,-1,12,9.2,46814,204,5.9,3.4
2020,7,24,02:20,UTC,6,1002.8,83,0,-1,12.2,9.5,48147,200,5.8,3.9
2020,7,24,02:30,UTC,7,1002.8,80,0,-1,12.8,9.5,50000,196,8.7,4.7
2020,7,24,02:40,UTC,7,1002.7,81,0,-1,13,9.9,45155,195,8.1,4
2020,7,24,02:50,UTC,7,1002.6,82,0,-1,13.1,10,46902,196,8.4,4.7
2020,7,24,03:00,UTC,7,1002.5,81,0,-1,13.2,10,43895,200,9.2,5
2020,7,24,03:10,UTC,7,1002.7,79,0,-1,13.4,9.9,41975,199,8.3,4.8
2020,7,24,03:20,UTC,7,1002.9,82,0,-1,13,9.9,13339,221,12.4,7
2020,7,24,03:30,UTC,7,1002.8,91,2.2,-1,11.7,10.2,8164,218,8.1,3.8
2020,7,24,03:40,UTC,8,1002.5,94,0.7,-1,11.1,10.1,28624,176,6.6,3.3
2020,7,24,03:50,UTC,8,1002.3,94,0,-1,10.7,9.8,30433,167,7.3,4
2020,7,24,04:00,UTC,8,1002.3,94,0,-1,10.6,9.6,30605,177,7.3,4
2020,7,24,04:10,UTC,6,1002.2,92,0,-1,10.9,9.7,34404,190,8.3,4.6
2020,7,24,04:20,UTC,6,1002.2,92,0,-1,11.8,10.6,32444,177,10.2,5.5
2020,7,24,04:30,UTC,6,1002.1,92,0,-1,12.4,11.1,33840,174,8.9,5.4
2020,7,24,04:40,UTC,7,1002.1,93,0,-1,12.7,11.5,41541,174,8.4,4.9
2020,7,24,04:50,UTC,7,1002,93,0,-1,13,12,38542,186,8,4.6
2020,7,24,05:00,UTC,7,1002,92,0,-1,13.4,12.2,39874,191,11.9,6.1
2020,7,24,05:10,UTC,6,1002,91,0,-1,13.8,12.4,31114,191,12.3,6.3
2020,7,24,05:20,UTC,5,1002,91,0,-1,14,12.5,34494,193,9.4,5.8
2020,7,24,05:30,UTC,4,1002,89,0,-1,14.3,12.5,39607,194,10.6,5.5
2020,7,24,05:40,UTC,5,1002.1,89,0,-1,14.3,12.6,34091,197,10.4,5.4
2020,7,24,05:50,UTC,6,1002.2,88,0,-1,14.4,12.4,23840,204,10.2,6.6
2020,7,24,06:00,UTC,7,1002.3,91,0,-1,14.5,13,20993,197,8,5
2020,7,24,06:10,UTC,7,1002.3,87,0,-1,14.5,12.4,26367,203,6.5,3.5
2020,7,24,06:20,UTC,7,1002.4,81,0,-1,14.6,11.3,23530,213,8,4.6
2020,7,24,06:30,UTC,7,1002.6,58,0,-1,14.7,6.4,27483,243,13.9,6.1
2020,7,24,06:40,UTC,8,1002.3,60,0,-1,14,6.4,25786,230,14.8,6.9
