Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2020,7,25,00:00,UTC,8,1003.2,98,0,-1,12.9,12.7,10321,146,3.1,1.5
2020,7,25,00:10,UTC,8,1003.1,98,0.8,-1,12.9,12.6,8627,148,3.8,2
2020,7,25,00:20,UTC,8,1003.1,99,0,-1,12.9,12.7,10614,125,3.1,1.8
2020,7,25,00:30,UTC,8,1003,99,0,-1,12.8,12.6,8897,111,3.2,2.2
2020,7,25,00:40,UTC,8,1003,99,0,-1,12.7,12.5,9215,110,3.6,2.3
2020,7,25,00:50,UTC,7,1003,99,0,-1,12.7,12.5,9354,115,3.5,2
2020,7,25,01:00,UTC,7,1002.9,99,0,-1,12.6,12.4,8433,113,3.4,1.8
2020,7,25,01:10,UTC,7,1002.9,99,0,-1,12.7,12.5,8188,105,3.7,2.3
2020,7,25,01:20,UTC,7,1002.8,99,0,-1,12.7,12.5,9749,93,3.9,2.5
2020,7,25,01:30,UTC,7,1002.8,99,0,-1,12.7,12.6,12826,94,4.1,2.5
2020,7,25,01:40,UTC,8,1002.8,99,0,-1,12.8,12.6,12505,94,3.8,2.3
2020,7,25,01:50,UTC,8,1002.8,99,0,-1,12.8,12.6,12202,90,3.9,2.2
2020,7,25,02:00,UTC,8,1002.7,99,0,-1,12.8,12.7,11429,91,4.1,2.5
2020,7,25,02:10,UTC,8,1002.7,99,0,-1,12.8,12.7,8200,96,4.5,2.6
2020,7,25,02:20,UTC,8,1002.7,99,0,-1,12.9,12.7,16089,92,4,2.1
2020,7,25,02:30,UTC,8,1002.7,99,0,-1,12.9,12.7,20200,87,2.6,1.5
